"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"AYM00089606","VOSTOK, AY","2021-01-01",,"1491.0","-30.8",,"-37.1"
"AYM00089606","VOSTOK, AY","2021-01-02","0.0","1491.0","-31.1",,"-37.2"
"AYM00089606","VOSTOK, AY","2021-01-03","0.0","1491.0","-30.8",,"-36.0"
"AYM00089606","VOSTOK, AY","2021-01-04","0.0","1491.0","-30.1",,"-36.6"
"AYM00089606","VOSTOK, AY","2021-01-05","0.0","1491.0","-30.3",,
"AYM00089606","VOSTOK, AY","2021-01-06","0.0","1491.0","-31.2",,"-37.2"
"AYM00089606","VOSTOK, AY","2021-01-07","0.3","1491.0","-32.6",,"-37.1"
"AYM00089606","VOSTOK, AY","2021-01-08","0.0","1491.0","-32.9","-28.3","-38.2"
"AYM00089606","VOSTOK, AY","2021-01-09","0.0","1491.0","-31.5",,"-39.4"
"AYM00089606","VOSTOK, AY","2021-01-10","0.0","1491.0","-32.8",,
"AYM00089606","VOSTOK, AY","2021-01-11",,"1491.0","-33.6",,"-39.8"
"AYM00089606","VOSTOK, AY","2021-01-12","0.0","1491.0","-35.1",,"-40.6"
"AYM00089606","VOSTOK, AY","2021-01-13","0.0","1491.0","-34.1",,"-40.8"
"AYM00089606","VOSTOK, AY","2021-01-14","0.0","1491.0","-35.1",,"-41.4"
"AYM00089606","VOSTOK, AY","2021-01-15","0.0","1491.0","-34.8",,"-41.3"
"AYM00089606","VOSTOK, AY","2021-01-16","0.5","1491.0","-34.8",,"-40.2"
"AYM00089606","VOSTOK, AY","2021-01-17","0.0","1491.0","-32.6",,"-42.2"
"AYM00089606","VOSTOK, AY","2021-01-18","0.0","1491.0","-32.8",,"-40.0"
"AYM00089606","VOSTOK, AY","2021-01-19","0.0","1491.0","-33.3",,"-40.4"
"AYM00089606","VOSTOK, AY","2021-01-20","0.3","1501.0","-30.7",,"-34.2"
"AYM00089606","VOSTOK, AY","2021-01-21","0.3","1501.0","-30.9","-24.6",
"AYM00089606","VOSTOK, AY","2021-01-22",,"1501.0","-31.3",,"-38.9"
"AYM00089606","VOSTOK, AY","2021-01-23","0.3","1501.0","-27.3",,"-35.9"
"AYM00089606","VOSTOK, AY","2021-01-24","0.3","1501.0","-30.2",,
"AYM00089606","VOSTOK, AY","2021-01-25","0.0","1501.0","-31.7",,"-35.8"
"AYM00089606","VOSTOK, AY","2021-01-26","0.0","1501.0","-32.9",,"-36.5"
"AYM00089606","VOSTOK, AY","2021-01-27","0.0","1501.0","-33.3",,"-37.4"
"AYM00089606","VOSTOK, AY","2021-01-28","0.5","1501.0","-33.4",,
"AYM00089606","VOSTOK, AY","2021-01-29",,"1501.0","-29.6",,"-39.7"
"AYM00089606","VOSTOK, AY","2021-01-30","0.3","1509.0","-28.9",,
"AYM00089606","VOSTOK, AY","2021-01-31","0.3","1509.0","-29.1",,"-35.0"
