"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012375","OKECIE, PL","2021-01-01",,,"0.1","1.1","-1.1"
"PLM00012375","OKECIE, PL","2021-01-02",,,"0.9",,
"PLM00012375","OKECIE, PL","2021-01-03","1.0",,"1.8",,
"PLM00012375","OKECIE, PL","2021-01-04","0.0",,"3.1",,"0.7"
"PLM00012375","OKECIE, PL","2021-01-05","1.5",,"3.3",,
"PLM00012375","OKECIE, PL","2021-01-06","8.4",,"1.7",,"0.7"
"PLM00012375","OKECIE, PL","2021-01-07","2.0",,"1.0","2.4",
"PLM00012375","OKECIE, PL","2021-01-08","0.0",,"0.7",,
"PLM00012375","OKECIE, PL","2021-01-09",,,"-0.3",,
"PLM00012375","OKECIE, PL","2021-01-10",,,"0.0","0.3","-0.6"
"PLM00012375","OKECIE, PL","2021-01-11",,,"-0.3","2.1",
"PLM00012375","OKECIE, PL","2021-01-12",,,"-1.2",,
"PLM00012375","OKECIE, PL","2021-01-13","3.8",,"-0.3","0.2","-1.5"
"PLM00012375","OKECIE, PL","2021-01-14","0.0","41.0","-1.7","0.1",
"PLM00012375","OKECIE, PL","2021-01-15","0.0","51.0","-6.7","-3.7",
"PLM00012375","OKECIE, PL","2021-01-16","0.5","71.0","-7.3",,"-12.5"
"PLM00012375","OKECIE, PL","2021-01-17","1.8",,"-13.4","-5.4",
"PLM00012375","OKECIE, PL","2021-01-18",,,"-16.8",,"-20.6"
"PLM00012375","OKECIE, PL","2021-01-19",,,"-9.1",,
"PLM00012375","OKECIE, PL","2021-01-20","3.0",,"0.9",,"-5.2"
"PLM00012375","OKECIE, PL","2021-01-21","0.3","89.0","1.7","6.6",
"PLM00012375","OKECIE, PL","2021-01-22","0.0","79.0","3.3","8.5","0.0"
"PLM00012375","OKECIE, PL","2021-01-23","39.9",,"3.6","6.4",
"PLM00012375","OKECIE, PL","2021-01-24","1.0",,"1.4","5.8",
"PLM00012375","OKECIE, PL","2021-01-25","1.3",,"0.4","1.2","-0.3"
"PLM00012375","OKECIE, PL","2021-01-26","1.8","10.0","0.4","1.2","-0.1"
"PLM00012375","OKECIE, PL","2021-01-27","9.9",,"0.3","1.0",
"PLM00012375","OKECIE, PL","2021-01-28","0.0","10.0","0.1",,
"PLM00012375","OKECIE, PL","2021-01-29","0.8","10.0","-1.8","0.6",
"PLM00012375","OKECIE, PL","2021-01-30","0.8",,"-2.6",,
"PLM00012375","OKECIE, PL","2021-01-31","2.5",,"-5.8","-1.8",
"PLM00012375","OKECIE, PL","2021-02-01","0.0","79.0","-7.4",,"-13.5"
"PLM00012375","OKECIE, PL","2021-02-02",,"71.0","-1.2",,"-8.3"
"PLM00012375","OKECIE, PL","2021-02-03","2.0",,"2.4",,"0.9"
"PLM00012375","OKECIE, PL","2021-02-04","12.7",,"0.5",,
"PLM00012375","OKECIE, PL","2021-02-05","0.3",,"-3.6",,
"PLM00012375","OKECIE, PL","2021-02-06","0.0",,"-6.8","-3.0",
"PLM00012375","OKECIE, PL","2021-02-07",,,"-10.7",,
"PLM00012375","OKECIE, PL","2021-02-08",,,"-9.4",,"-11.6"
"PLM00012375","OKECIE, PL","2021-02-09",,,"-7.3","-5.8",
